console,give comfort or sympathy to
audacious,Bold
pest,destructive thing or a person who is nuisance
reminiscent,suggest something in the past
malevolent,malicious; evil; having or showing ill will
predominate,have more power than others
asterisk,the mark * (e.g.. omitted letters)
disrobe,undress
vigorous,strong energetic
jabber,talk excitedly; utter rapidly
ambidextrous,able to use the left hand or the right equally well
conjoin,to join together
sporadic,happening from time to time
flop,fail/move/fall clumsily
pilferer,to steal, especially in small quantities"
sawdust,tiny bits of wood
impromptu,without preparation
impede,hinder; get in the way of
beguile,mislead or delude; cheat; pass time
warrant,authority written order guarantee
riddle,puzzling person or thing
mite,A very small amount, portion, or particle"
constrict,make tight or smaller
judicious,sound in judgment; wise
shard,A piece of broken pottery
opaqueness,dullness/not allowing light to pass through
dormant,in a state of inactivity but awaiting development
sophisticated,complex; subtle; refined
cordial,warm and sincere
sadistic,Cruel
braggart,boastful
solvent,of the power of forming a solution
immutable,that cannot be changed
stride,walk with long steps
misanthrope,person who hates mankind
shallow,little depth; not earnest
affable,polite and friendly
scent,smell (especially pleasant)
evoke,call up bring out
surcharge,additional load/charge
yeoman,man owning small estate; middle-class farmer
eloquence,fluent speaking skillful use of language
abhor,to hate; to detest
derivative,unoriginal; obtained from another source
recuperate,become strong after illness loss exhaustion
inclined,directing the mind in a certain direction
paradigm,a model example or pattern
shunned,avoided, kept away from"
sanction,approval (by authority) penalty
allegiance,duty support loyalty
combustion,process of burning
disallow,refuse to allow or accept as a correct
ail,to cause pain, uneasiness, or trouble to."
pivotal,of great importance (others depend on it)
extinguish,end the existence of/wipe or put out
partisan,one-sided committed to a party biased or prejudiced
spear,weapon with a metal point on a long shaft
skit,short piece of humorous writing
brass,yellow metal (mixing copper and zinc)
arrogance,proud; superior manner of behaviour
gait,a manner of walking, stepping, or running"
turmoil,trouble disturbance
alloy,to debase by mixing with something inferior
sanity,health of mind soundness of judgment
moribund,in a dying state; near death
abysmal,extreme bad
centurion,leader of a unit of 100 soldiers
dupe,cheat make a fool of
introspection,examining one's own thoughts and feelings
tractable,easily controlled or guided
abstruse,difficult to comprehend; obscure
disproof,proof to the contrary
embezzle,use in a wrong way for one's own benefit
steeply,rising or falling sharply
cryptic,secret with a hidden meaning
ascend,go or come up
ambivalent,having both of two contrary meanings
divergence,getting farther apart from a point
invincible,too strong to be defeated
equilibrium,state of being balanced
repulsive,causing a feeling of disgust
renowned,celebrated; famous
meticulous,giving great attention to details
dote,show much fondness center one's attention
implosion,collapse; bursting inward
luminary,star; light-giving body
submerge,put under water liquid sink out of sight
fragrant,sweet-smelling
perjury,willful FALSE statement unlawful act
adulteration,making unpure; poorer in quality
livid,Furiously angry, enraged"
philanthropist,one who loves mankind
mischievous,harmful; causing mischief
sheath,cover for the blade of a weapon or a tool
narcissism,Self-love
resuscitation,coming back to consciousness
accolade,praise; approval
clientele,customers
eulogy,formal praise panegyric
dullard,a stupid, insensitive person"
infuriate,fill with fury or rage
acclaimed,welcomed with shouts and approval
odor,smell
fragile,easily injured broken or destroyed
grumble,to complain
edify,instruct; correct morally
ameliorate,improve; make better
bewilder,puzzle; confuse
renovate,restore something to better condition
poseur,a person who attempts to impress by acting unlike himself
aberration,straying away from what is normal
chortle,loud chuckle of pleasure or amusement
sobriety,quality or condition of being sober
garrulous,too talkative
endorse,write one's name on the back of
fleet,number of ships; quick-moving
conceal,hide keep secret
massacre,cruel killing of a large number of people
suffocate,cause or have difficulty in breathing
loll,rest to sit or stand in a lazy way hang (dog's tongue)
salvage,the saving of property from loss
weigh,measure how heavy something is
animosity,strong dislike
suffice,be enough
impermeable,that cannot be permeated
woo,try to win
arcane,known or understood by very few
sequence,succession connected line of
appease,make quiet or calm
encapsulate,enclose in capsule
enigma,something that is puzzling
redeem,get back by payment compensate
incongruous,out of place; not in harmony or agreement
succumb,yield, die"
apt,well-suited; quick-witted
misogynist,one who hates women/females
acumen,Keen, quick, accurate insight or judgment"
abide,be faithful; to endure
endeavor,to make an effort, to try very hard"
curriculum,course of study
commuter,person who travels regularly
affinity,close connection; relationship
scribble,write hastily
gullible,easily gulled
treacherous,not to be trusted, perfidious"
gallant,brave,behaves well with women"
parenthesis,sentence within another one something separated
tadpole,form of a frog when it leaves the egg
alleviate,make (pain) easier to bear
fidelity,loyalty accuracy
sluggard,lazy slow-moving person
negligent,taking too little care
implicit,implied though; not plainly expressed
evasive,tending to evade
refine,make or become pure cultural
superimpose,put something on the top
agile,active; quick-moving
unscathed,unharmed unhurt
sponge,porous rubber for washing live at once expense
somersault,rolling backward or forward (not sideways) movement
complaisant,trying to please; obliging
moderation,quality of being limited; not extreme
buoyant,able to float; light-hearted
nihilism,total rejection of all religious and moral beliefs
fission,splitting or division (esp. of cells)
reconcile,settle a quarrel restore peace
recitals,a number of performance of music
hospitable,liking to give hospitality
grievous,causing grief or pain; serious dire grave
mesmerize,hypnotize
edible,fit to be eaten/not poisonous
ossified,turned to bone; hardened like bone; Inflexible
retrograde,receding
liberality,free giving; generosity
dislodge,move force from the place occupied
amalgamate,mix; combine; unite societies
malleable,yielding easily shaped; moldable; adapting
foster,nurture; care for
correlate,have a mutual relation
relapse,fall back again
inquest,Legal or judicial inquiry, especially before a jury and especially made by a coroner into the cause of someone.s death"
euphoria,elation state of pleasant excitement
volatile,changeable inconstant fickle unstable explosive
adorn,add beauty; decorate
defer,postpone
colloquial,involving or using conversation.
introvert,one who turns towards himself
offhand,Without preparation or forethought
bogus,sham; counterfeit; not genuine
turbulence,being uncontrollably violent
boisterous,noisy; restraint
plea,request
premature,doing or happening something before the right time
forgery,counterfeit
catalyst,substance that causes speeding up
brittle,easily broken
stray,wander lose one's way
calipers,metal supports attached to the legs measuring instrument
perish,be destroyed decay
concur,agree in opinion happen together
hypocrisy,falsely making oneself appear to be good
enduring,lasting
cumbersome,burdensome; heavy and awkward to carry
precursors,a person or thing that precedes, as in a process or job."
foolproof,incapable of failure or error
auxiliary,helping; supporting
gerontocracy,government ruled by old people
drowsiness,feeling sleepy half asleep
commemorate,keep the memory of
